Player,Team,G,GS,QS,IP,K,HLD,SV,ERA,WHIP
Ross Stripling,LAD,39,15,1,112,120,2,0,3.29,1.19
Marcus Stroman,TOR,31,31,12,182,145,0,0,4.2,1.36
Pedro Strop,CHC,62,0,0,58,61,16,9,2.48,1.05
Andrew Suarez,SF,26,26,10,150,123,0,0,4.2,1.31
Anthony Swarzak,SEA,51,0,0,53,61,5,10,3.91,1.23
Noah Syndergaard,NYM,29,29,17,175,189,0,0,2.93,1.16
Jameson Taillon,PIT,33,33,20,199,159,0,0,3.08,1.08
Masahiro Tanaka,NYY,29,29,15,171,172,0,0,3.95,1.15
Julio Teheran,ATL,31,31,16,182,159,0,0,4.01,1.22
Ryan Tepera,TOR,62,0,0,61,64,22,2,3.54,1.2
Touki Toussaint,ATL,16,15,4,84,93,0,0,3.64,1.27
Blake Treinen,OAK,70,0,0,77,86,0,38,1.99,1.06
Lou Trivino,OAK,65,0,0,71,78,25,2,3.17,1.37
Nick Tropeano,LAA,0,0,0,0,0,0,0,0,0
Jose Urena,MIA,32,27,11,158,112,0,0,4.1,1.23
Julio Urias,LAD,17,17,4,75,82,0,0,3.72,1.31
Jason Vargas,NYM,24,24,7,113,91,0,0,4.78,1.36
Felipe Vazquez,PIT,72,0,0,71,89,0,36,2.66,1.15
Vince Velasquez,PHI,26,26,9,130,140,0,0,4.78,1.38
Justin Verlander,HOU,33,33,26,207,261,0,0,3,1.04
Arodys Vizcaino,ATL,57,0,0,54,60,1,29,2.17,1.11
Edinson Volquez,TEX,25,25,5,142,112,0,0,4.63,1.46
Michael Wacha,STL,22,22,11,120,107,0,0,3.97,1.33
Adam Wainwright,STL,18,18,4,94,79,0,0,4.88,1.47
Adam Warren,FA,49,0,0,56,53,10,0,3.21,1.18
Tony Watson,SF,70,0,0,65,63,28,0,2.91,1.17
Luke Weaver,ARI,25,25,9,129,126,0,0,4.47,1.4
Zack Wheeler,NYM,31,31,17,181,177,0,0,3.73,1.25
Forrest Whitley,HOU,14,14,5,72,75,0,0,3.5,1.07
Trevor Williams,PIT,27,27,14,154,114,0,0,3.33,1.23
Alex Wilson,CLE,62,0,0,63,44,15,0,3.71,1.19
Justin Wilson,NYM,68,0,0,56,72,17,1,3.54,1.38
Trey Wingenter,SD,49,0,0,52,65,19,2,2.94,1.15
Dan Winkler,ATL,65,0,0,58,66,15,0,4.03,1.33
Alex Wood,CIN,28,28,12,151,139,0,0,3.75,1.26
Brandon Woodruff,MIL,31,14,6,94,93,0,0,3.83,1.23
Brandon Workman,BOS,49,0,0,51,46,10,0,3.18,1.22
Steven Wright,BOS,21,11,4,91,72,0,0,3.26,1.26
Kyle Wright,ATL,10,10,2,54,45,0,0,4.33,1.44
Ryan Yarbrough,TB,33,14,0,149,128,0,0,3.56,1.2
Kirby Yates,SD,66,0,0,62,91,2,31,2.03,0.98
Jordan Zimmermann,DET,30,30,13,163,121,0,0,5.19,1.39
